_id,MODEL_CD
67dbab870dc9badbe92b9ada,ERTIGA
67dbab870dc9badbe92b9adb,ERTIGA
67dbab870dc9badbe92b9adc,ERTIGA
67dbab880dc9badbe92b9ade,ERTIGA
67dbab890dc9badbe92b9afe,ERTIGA
67dbaba50dc9badbe92b9b47,SWIFT
67dbab880dc9badbe92b9ae0,ERTIGA
67dbab880dc9badbe92b9ae1,ERTIGA
67dbab880dc9badbe92b9ae5,ERTIGA
67dbab880dc9badbe92b9ae2,ERTIGA
67dbab880dc9badbe92b9ae6,ERTIGA
67dbab880dc9badbe92b9ae8,ERTIGA
67dbab880dc9badbe92b9ae3,ERTIGA
67dbab880dc9badbe92b9ae7,ERTIGA
67dbab880dc9badbe92b9af0,ERTIGA
67dbab880dc9badbe92b9ae9,ERTIGA
67dbab880dc9badbe92b9aee,ERTIGA
67dbab880dc9badbe92b9af2,ERTIGA
67dbab880dc9badbe92b9aea,ERTIGA
67dbab880dc9badbe92b9aef,ERTIGA
67dbab8a0dc9badbe92b9b0d,ERTIGA
67dbab880dc9badbe92b9aec,ERTIGA
67dbab880dc9badbe92b9af3,ERTIGA
67dbab890dc9badbe92b9b08,ERTIGA
67dbab890dc9badbe92b9af4,ERTIGA
67dbab890dc9badbe92b9af9,ERTIGA
67dbab8b0dc9badbe92b9b21,ERTIGA
67dbab890dc9badbe92b9af5,ERTIGA
